"DisplayName","Id","Reputation","CandidateScore","MonthsOnSite","UpVotes","DownVotes","Votes","HelpfulFlags","ReviewCount","QuestionCount","AnswerCount","GoldBadges","SilverBadges","BronzeBadges","CommentCount","BodyEdits","TitleEdits","TagEdits","UpVotesMSO","DownVotesMSO","VotesMSO","QuestionCountMSO","AnswerCountMSO","GoldBadgesMSO","SilverBadgesMSO","BronzeBadgesMSO","CommentCountMSO","DiscussionScoreMSO","FeatureRequestScoreMSO","SupportScoreMSO","ReputationMSE","UpVotesMSE","DownVotesMSE","VotesMSE","QuestionCountMSE","AnswerCountMSE","GoldBadgesMSE","SilverBadgesMSE","BronzeBadgesMSE","CommentCountMSE","DiscussionScoreMSE","FeatureRequestScoreMSE","SupportScoreMSE"
"Andy",189134,15731,33,73,2744,5471,8215,63294,7707,90,591,10,51,85,677,701,50,69,1545,937,2482,7,98,6,31,56,146,923,153,155,4023,1454,478,1932,32,30,2,12,31,121,186,39,29
"bjb568",2371861,5324,23,30,1404,4782,6186,1770,2929,17,226,9,22,50,1612,513,133,106,1240,596,1836,46,54,3,25,58,968,351,6,45,3700,1183,399,1582,21,29,2,15,41,509,111,69,6
"codeMagic",1380752,32149,37,42,717,545,1262,289,2059,13,1498,9,36,68,6112,659,64,104,314,61,375,11,92,4,41,56,727,981,114,49,2062,63,13,76,5,38,0,4,16,132,160,31,8
"deceze",476,259484,39,87,8779,17572,26351,803,281,59,6463,36,315,454,20437,1139,192,162,383,98,481,7,80,10,49,52,465,1443,45,41,2032,88,7,95,4,5,1,9,12,35,23,146,6
"Ed Cottrell",2057919,20405,40,33,3106,5244,8350,8813,2634,8,942,8,24,59,2632,802,184,149,377,113,490,5,15,2,12,24,63,155,40,17,1029,399,33,432,15,11,1,5,16,71,20,0,17
"Johnny Bones",2174085,4382,18,32,269,136,405,81,644,148,557,2,16,42,937,238,93,23,44,7,51,6,11,0,3,13,27,57,3,0,4463,67,180,247,47,91,0,8,35,285,138,75,30
"josilber",3093387,26660,40,23,1282,1489,2771,8568,2224,12,807,8,24,63,935,1328,143,234,959,428,1387,10,24,2,13,36,59,204,18,12,998,342,50,392,3,6,0,6,18,7,19,45,9
"Madara Uchiha",871050,75455,40,52,4919,2143,7062,794,1740,72,2411,29,120,179,7077,978,98,153,199,37,236,10,51,5,31,44,168,774,64,189,21784,1477,185,1662,126,248,6,42,109,710,712,414,267
"Mureinik",2422776,72471,40,30,4099,13143,17242,1108,8657,0,3379,17,41,74,2745,2596,384,1284,653,288,941,6,23,5,17,33,28,394,4,86,1425,990,715,1705,9,21,2,5,21,13,53,3,38
"rekire",995926,21732,39,49,2071,53,2124,531,1945,126,905,14,65,139,2408,898,141,570,62,6,68,5,5,0,6,17,33,43,0,0,1742,271,2,273,38,14,1,7,24,124,3,0,17
"slugster",109702,31252,37,78,4370,1373,5743,1017,1822,28,1215,8,60,100,1931,848,874,497,375,421,796,1,141,7,61,77,332,1953,178,270,17140,1333,984,2317,54,271,4,22,82,663,988,224,192
"Sterling Archer",774078,11086,25,54,1186,1288,2474,333,743,92,477,3,28,57,3009,98,2,51,75,31,106,27,16,2,18,38,172,155,81,17,1410,63,11,74,20,5,0,4,17,69,9,38,0
"Thomas Owens",572,52508,33,87,2913,199,3112,119,68,244,514,64,235,377,1312,145,98,201,31,11,42,0,1,0,8,8,7,42,0,0,11764,678,39,717,103,97,1,37,78,442,348,193,103
"Travis J",1026459,41253,35,48,4167,1376,5543,249,215,219,1607,10,85,146,3467,133,31,87,1040,520,1560,19,140,8,48,99,799,1449,324,50,18283,1510,467,1977,64,261,3,44,99,945,1156,274,189
"Ty221",1952862,3601,17,34,431,327,758,300,1202,88,148,5,28,58,418,239,93,105,2,0,2,0,4,0,2,7,0,-21,4,1,925,76,27,103,30,17,0,4,24,45,16,-6,3
"Undo",1849664,13910,32,36,1835,2432,4267,7662,8735,53,433,12,57,82,1122,1693,253,615,314,107,421,20,39,0,23,48,71,325,67,56,25165,2182,698,2880,200,190,13,60,159,958,1121,247,314
"vaultah",2301450,14276,34,31,2265,4279,6544,1730,2291,13,344,8,25,53,1006,853,173,421,168,375,543,15,2,0,12,25,32,11,0,0,154,41,195,236,5,0,0,2,11,5,0,0,0
"Vinod Madyalkar",2193767,22542,35,32,2441,178,2619,105,489,39,1159,5,29,62,4213,190,13,46,80,4,84,11,21,0,8,21,86,93,34,43,101,2,0,2,0,0,0,0,2,1,0,0,0
